"落雨天打磚","壞胚子"
"落在陷阱裏的駿馬","寸步難行"
"臘月喝涼水","點點記在心"
"臘月裏打雷","罕見"
"臘月買紙扇","不識時務"
"蠟人玩火","害瞭自身"
"癩蛤蟆過年","窮得連毛都沒有一根"
"癩蛤蟆跳三跳","還要歇一歇"
"癩子當和尚","不費手續"
"懶雞婆抱窩","守著攤兒過"
"爛闆搭橋","不頂事"
"爛泥菩薩洗臉","乾淨不瞭"
"狼不吃死孩子","是活人慣的"
"狼頭上插筍","裝樣(羊)"
"老大爺拉二鬍","陳詞濫調"
"老虎上吊","沒活(虎)路瞭"
"老虎吃蝴蝶","想入非非(飛飛)"
"老虎咬牛","大乾一場"
"老虎拉磨","不信那一條"
"老虎餓瞭逮耗子","飢不擇食"
"老和尚敲鍾","一個點兒"
"老和尚搬傢","吹燭拔蠟"
"老公雞披蓑衣","嘴尖毛長"
"老漢啃甘蔗","咬牙切齒"
"老鴨公唱戲","喉嚨不爭氣"
"老鴨子遊水","錶麵上不動"
"老鴰叮蚌殼","難脫身"
"老驢打滾","翻不過身來"
"老母雞上樹","冒充英雄"
"老母豬擺擂颱","豁著臉摔打"
"老母豬上山","緊往上爬"
"老母豬進夾道","進退兩難"
"老牛吃豆腐","變心(新)腸瞭"
"老刺蝟下山","一骨碌"
"老壽星上吊","活夠瞭"
"老山貓呲牙","笑麵虎"
"老鼠嗑瓜子","一張巧嘴"
"老鼠搬生薑","勞而無功"
"老鼠進口袋","白找死"
"老鼠啃菜刀","死路一條"
"老鼠坐供桌","想充神仙"
"老鼠騎水牛","大的沒有小的能"
"老鼠睡貓窩","送來一塊肉"
"老鼠拉木鍁","大頭在後頭"
"老鼠做壽","小熱鬧"
"老鼠尾巴上綁雞毛","不是個正經鳥"
"老鼠咬茶壺","口口都是詞(瓷)"
"老鼠咬屁股","肯定(啃腚)"
"老婆婆嫁屠夫","隻圖吃"
"老婆婆賽跑","精神可佳"
"老牯牛走路","老八路"
"老龍王下海","不迷方嚮"
"老太太打補丁","窮湊閤"
"老太太念佛","嚕蘇"
"老太太紡綫","拖拖拉拉"
"老太婆摸雞","總歸有蛋"
"老太婆跳皮筋","非同兒戲"
"老太婆念經","從頭來"
"老太婆啃雞筋","難嚼難咽"
"老太爺看告示","一篇大道理"
"老鷹吃雞毛","真滿肚子算事"
"老鷹的眼","看抓的"
"姥姥死閨女","無疑(姨)"
"肋底下插柴","自忍"
"樂山的大佛","老實(石)"
"雷打莊稼","不留情"
"冷鍋裏長熱豆","想不到"
"狸貓裝貓叫","想投機(偷雞)"
"離群的牛犢","不知往哪奔"
"離山的猛虎","無能"
"離水的魚兒","乾張嘴"
"理發師的工夫","憑的是理"
"鯉魚産卵","撒一大片"
"立鼕的蛇","僵瞭"
"荔枝殼抹油","又滑又濕"
"倆瞎子打架","對拍"
"蓮藕孔過風","半通不通"
"臉皮象手鼓","厚顔無恥"
"梁山上的軍師","無(吳)用"
"兩分錢買一籃子菜","不好是貨"
"兩個老頭打架","鬍鬥"
"兩個風箏一起飛","鬍攪蠻纏"
"兩個羊羔打架","對頭"
"兩個肩膀扛張嘴","光等吃"
"兩個啞巴睡一頭","無話可商量"
"兩個醫生抬頭驢","沒治瞭"
"兩口子打官司","一言難盡"
"兩匹馬賽跑","各奔前程"
"兩親傢打架","為兒女的事"
"亮月下點燈","空掛名(明)"
"亮月下耍大刀","明砍"
"撂下拐棍作揖","老交情"
"裂嘴的包子","露餡兒"
"林教頭的棍棒","虛晃一下"
"臨上轎馬撒尿","手忙腳亂"
"靈前酒壺","斟乾止"
"鈴鐺敲鑼鼓","想(響)在一塊瞭"
"溜直的樹木","先被砍"
"劉備的舅子","孫權"
"劉備的兄弟","紅的紅，黑的黑"
"劉備摔孩子","收買人心"
"劉備殺人","心慈手軟"
"劉關張桃園三結義","生死之交"
"硫磺腦袋","易發火"
"柳樹齣身","立場不穩"
"柳樹葉子","尖齣頭"
"柳條籃子搖元宵","滾蛋"
"柳條上串王八","一類貨色"
"六點鍾","指天頂地"
"六十歲學吹打","心有餘，力不足"
"六月裏的糞缸","越淘越臭"
"六月裏的鼕瓜","越大越不值錢"
"六月裏的荷花","眾人共賞"
"六月天下雪","沒這迴事"
"六月天孵小雞","壞蛋"
"六月天穿毛衣","熱心"
"六月天狗吐舌頭","熱齣來的"
"龍燈耍的好","靠頭"
"龍王爺掉在海裏","不消勞(撈)"
"龍須菜炒韭菜","亂七八糟"
"聾子打岔","聽不清"
"聾子聽話","傻瞪眼"
"聾啞人談天","連說帶比劃"
"樓窗上走人","門外漢"
"漏盆裏洗澡","快活不多時"
"露頭的釘子","挨敲的貨"
"爐子翻身","倒黴(煤)"
"爐子旁的捅條","倒黴(搗煤)的傢夥"
"鹵水煮鴨子","肉爛嘴還硬"
"魯班的兒子學木匠","不用拜師"
"路邊的小草","任人踩"
"轆轤打水","一個勁兒地往上嘎"
"驢駒子拉套","不順手"
"驢子推磨","走的老道"
"呂布殺董卓","大義滅親"
"呂布戲貂嬋","上瞭彆人的當"
"呂布戲貂嬋","英雄難過美人關"
"呂濛下趕齋","窮過度(渡)"
"綠豆喂王八","正是好料"
"亂加砝碼","不公平"
"輪船靠瞭碼頭","穩啦"
"蘿蔔兩頭切","首尾不顧"
"羅鍋上樹","錢(前)缺"
"羅鍋子伸腰","高齣二尺"
"羅漢肚子","草包"
"羅漢過水","各顯神通"
"羅漢請觀音","客少主人多"
"落鍋的蝦子","紅透瞭"
"落雨天打土坯","沒好的"
"駱駝步沙灘","穩重"
"樂器閤奏","大吹大擂"
"黃河決瞭口","滔滔不絕；一瀉韆裏"
"黃河裏的水","說不清；難清"
"黃鶴樓上看翻船","幸災樂禍"
"黃鶴樓上看行人","把人看矮瞭"
"黃昏時的燕子","不想高飛"
"黃醬掉在褲襠裏","不是死(屎)，也是死(屎)"
"黃連拌生薑","辛苦瞭"
"黃連泡茶","自討苦吃"
"黃連樹上雕字","刻苦"
"黃連樹下吃桂圓","苦中有甜"
"黃連樹下喊上帝","叫苦連天"
"黃鼠狼給雞送禮","不懷好意"
"黃忠上陣","老當益壯"
"灰堆吹喇叭","烏煙瘴氣"
"灰堆燒山藥","混書蛋"
"渾身貼膏藥","毛病不少"
"渾水池子","看不透"
"渾水洗澡","越來越糟，乾淨不瞭"
"豁牙子拜師傅","無恥(齒)之"
"豁牙子過鼕","唇亡齒寒"
"豁牙子說話","含糊其辭；含含糊糊"
"豁牙子咬牛筋","難嚼難咽"
"火把換燈籠","明來明去"
"火柴把上綁雞毛","膽(撣)子小"
"火柴棍搭橋","難過"
"火柴盒做棺材","成(盛)不瞭人"
"火車帶卒皮","勾(鈎)"
"火車抵頭","互不相讓"
"火車進隧道","長驅直入"
"火車拉笛","上勁；名(鳴)聲大"
"火車離軌","寸步難行"
"火車離瞭道","越軌"
"火車上馬路","齣軌；越軌"
"火車頭拉縴","獨齣心裁"
"火車頭沒燈","前途無量(亮)"
"火車廂裏賽歌","高歌猛進"
"火車響汽笛","一鳴驚人；火氣衝天"
"火車紮進高梁地","沒轍"
"火車站的軌道","四通八達"
"火雞比天鵝","差得遠，差遠瞭"
"火爐子裏澆油","火氣太大"
"火鉗子上陣","算不得兵器"
"火燒芭蕉","不死心，心不死"
"火燒鞭炮","一觸即發"
"火燒草料場","逼上梁山，沒有救"
"火燒草山","沒有救"
"火燒燈草","灰心"
"火燒房子還瞧唱本","沉著；沉得住氣"
"火種掉進乾柴堆","一點就著；點人就著"
"貨郎背包串鄉","沒挑的"
"貨郎擔洗手","撂挑子"
"貨郎鼓","兩邊擺"
"哈哈鏡","走瞭樣"
"哈巴狗逮老鼠","象貓沒貓的本事"
"哈巴狗叫貓","亂認當傢子"
"哈巴狗沒瞭眼珠","瞎神氣"
"哈巴狗坐牆頭","硬裝坐地土豪"
"海參長刺","不紮人"
"海關大鍾","到時候就報"
"海蠣上岸","甭想張嘴"
"海螺殼裏睡覺","不肯露頭"
"海子裏的蝦米","翻不起浪"
"寒鼕臘月送扇子","不識事務"
"寒暑錶","有升有降"
"韓湘子齣傢","一去不復返"
"韓信伐楚","明修棧道，暗渡陳倉"
"含糖睡覺","夢裏甜"
"旱煙袋打狗","壞瞭杆瞭"
"好嘴上塞棉花","沒法吹"
"好花離瞭土","活不成"
"好人堆裏挑壞人","不多"
"好心遭雷打","冤枉"
"耗子齣洞","準沒好事"
"耗子登風車","盡走迴頭路"
"耗子動刀","窩裏反"
"耗子進風箱","找氣受"
"耗子磨牙","沒活找活"
"耗子算卦","擱下爪就忘"
"耗子鑽竈火","末日來臨"
"喝瞭禦酒","有功之臣"
"喝鬆花江水長大的","管得寬"
"河裏打牆","把鱉的路擋瞭"
"河裏的涼水","不值錢"
"河裏長菜","不焦(澆)"
"河裏王八爬上岸","亮亮相"
"河灘上的石頭","沒角沒棱"
"河中的浮萍","紮不下根"
"荷花齣水","一塵不染"
"和尚起立","突(禿)起"
"和尚殺牛","口善心惡"
"核桃皮翻肚","點子不少"
"黑李逵碰見猛張飛","見麵就崩"
"黑頭演花旦","變瞭角色"
"黑瞎子耍門扛","人熊傢夥笨"
"黑瞎子吃石榴","滿肚子熊點子"
"黑瞎子上轎","誰抬你啊"
"黑鏇風的本名","理虧(李逵)"
"哼哈二將鬥法","噴雲吐霧"
"橫杠竹子","進不得城"
"鬍蘿蔔刻的小孩兒","紅人"
"鬍屠戶的女婿","犯勁(範進)"
"猢猻穿衣裳","象個人似的"
"虎口裏的人","生死未定"
"虎伴羊睡","靠不住"
"護城河的王八","混年號"
"花轎前的樂隊","大吹大擂"
"花椒樹","渾身是刺"
"花生殼，大蒜皮","一層管一層"
"花落結個大矮瓜","看也看瞭，吃也吃瞭"
"花果山上沒外姓","一窩孫"
"花瓶裏種樹","大不瞭"
"花頭雞","惹事多"
"花針對麥芒","尖對尖"
"花崗岩下油鍋","紮實(炸石)"
"蝦子掉在鹽堆上","忙(芒)中有閑(鹹)"
"蝦子過河","謙虛(牽須)"
"巷子裏打拳","直來直去；直進直齣；直齣直入"
"戲颱上打仗","哄的"
"戲颱上的官","快活不瞭多久"
"蝦子掉在大麥上","忙上加忙(芒)"
"蝦子得意","愛蹦"
"花架下養雞鴨","煞風景"
"畫筆敲敲","有聲有色"
"懷兒婆的口糧","兩人一份"
"懷裏揣鏡子","心裏明亮"
"壞鬼軍師","專齣壞主意"
"皇帝齣朝","駕到"
"皇帝的媽媽","太厚(後)"
"黃豆煮豆腐","父子相認"
"黃連樹下種苦瓜","苦生苦長"
"黃連炒豬頭","苦瞭大嘴"
"黃牛拉磨","慢工齣細活"
"黃鼠狼抽瞭筋","渾身打哆嗦"
"韭菜割頭","不死心"
"急救車撞瞭救火車","急上加急(比喻特彆緊急)"
"急性子作客","說來就來"
"江裏的浪花","不是吹的(比喻不是說大話能辦到的)"
"積木砌房子","碰就倒"
"九斤重的公雞","官高勢大"
"肩頭上放花炮","禍(火)在眼前"
"煎過三遍的藥渣","早該倒瞭"
"醬缸醃肘子","親(鹹)肉一塊"
"醬壇裏裝個鱉","親員(鹹圓)"
"毽雞毛","盡在錢上站著"
"跤龍頭上搔癢","溜須不要命"
"蔣乾盜書","上瞭大當"
"揪著馬尾巴賽跑","懸"
"脊梁骨上長茄子","生瞭外心"
"絕戶頭得個改傢子","明看不成器，丟又捨不得"
"緊著褲子數日月","日子難過"
"積木搭牆","一推就倒"
"教菩薩認字","枉費心機"
"黃鼠狼娶媳婦","小打小鬧"
"黃鼠狼下崽","一窩不如一窩"
"蝦吞礁石","好大的胃口"
"戲子沒卸裝","油頭粉麵"
"戲子的臉蛋","要哭就哭，要笑就笑"
"戲園子失火","徹底垮颱"
"戲園裏的棗木梆子","天生挨揍"
"戲颱下麵淌眼淚","替古人擔憂"
"戲颱上著火","熱鬧非凡；好熱鬧"
"戲颱上討老婆","假過場"
"戲颱上送詔書","假傳聖旨"
"活魚丟在沙灘上","乾蹦亂跳"
"火車開到馬路上","齣軌"
"火車輪子上軌道","切實可行"
"火車不開","推著走"
"火盆裏栽牡丹","不知死活"
"火燒棺材","逼死人"
"火燒鬍子","練(煉)嘴"
"火燒猴屁股","急得團團轉"
"火燒金鑾殿","沒地(帝)位"
"戲颱上拜天地","假的"
"戲颱上吹鬍子","嚇不住人"
"戲颱上打齣手","花招多"
"戲颱上的綢子舞","抖起來瞭"
"戲颱上的父子","沒大沒小"
"戲颱上的花旦","引人注目"
"戲颱上的將軍","神氣一時"
"戲颱上的小卒","走過場"
"叫化子吃豆腐","一窮二白"
"叫花子過年","窮講究(比喻過份的注重和要求)"
"叫化子齣殯","窮到頭瞭(比喻窮到份瞭或不再窮下去瞭)"
"雞公頭上的肉","大小是個官(冠)(比喻不管怎的都是個頭頭)"
"井底雕花","深刻(比喻觸到事情或問題的本質)"
"井底裏放糖","甜頭大傢嘗(比喻讓大傢都得到好處)"
"腳上穿冰鞋","要溜"
"腳踩西瓜皮，手裏抓把泥","一溜二抹"
"畸形人做衣服","另搞一套"
"狡兔撞鷹","以攻為守"
"決瞭堤的水","橫衝直撞"
"機關槍瞄大炮","直性子對直性子"
"雞腿煮豆腐","一勺燴"
"雞銜骨頭","替狗纍"
"雞戴帽子","官(冠)上加官(冠)"
"雞蛋裏挑骨頭","沒碴打碴"
"雞飛蛋打","兩落空"
"雞給黃鼠狼拜年","自投羅網"
"雞叫走路","越走越明"
"雞籠裏睡覺","睜眼盡窟窿"
"雞籠裏過日子","一身的窟窿"
"積木砌房子","一碰就倒"
"急救車撞瞭救護車","急上加急"
"急水灘頭放鴨子","一去不迴頭"
"降不住豬肉降豆腐","欺軟怕硬"
"妓院裏的處理品","下賤貨"
"剪開個蠶繭貼在眼上","滿眼都是絲(私)"
"剪瞭翅膀的八哥","看你還能飛上天"
"見瞭王母娘娘喊嶽母","想娶個天仙女"
"見瞭王母娘娘叫大姑","攀高親"
"見瞭兔子纔放扈","有利纔齣徵"
"見慣瞭駱駝","看不齣牛大來"
"江邊上洗蘿蔔","一個個來"
"將軍不下馬","各奔前程"
"薑太公坐主席颱","資格老"
"薑太公的眼鏡沒鏡片","老框框"
"嚼過的饃饃","沒味道"
"嚼著甘蔗上樓梯","節節甜，步步高"
"餃子破皮","漏瞭餡"
"餃子脫皮","露瞭餡"
"餃子開口","露餡瞭"
"腳闆上紮刺","存心不讓走"
"腳底闆上綁大鑼","走到哪裏響到哪裏"
"腳底下長瘡，頭頂冒膿","壞到底瞭"
"腳底踩擀麵杖","站不穩"
"腳踩兩隻船","左右為難"
"腳丫子上的襪子","走到哪跟到哪"
"攪屎棍支桌子","臭架子"
"叫化子撥算盤","窮有窮的打算"
"叫化子趕街","分文沒有"
"叫化子過年","窮講究"
"叫花子碰上要飯的","窮對窮"
"結巴碰上結巴","誰也不用急"
"結巴碰上結巴","少說為佳"
"結巴聊天","慢慢來"
"藉據在人手","想賴也賴不瞭"
"今天栽樹，明天要果子","辦不到"
"金彈子打麻雀","因小失大"
"金譬掉井","有是有"
"金剛打羅漢","硬對硬"
"近水樓颱","失得月"
"精神病院的醫生","不怕你發瘋"
"景德鎮的瓷器","瓷(詞)好"
"景德鎮的瓷器","又細又好"
"井底的蛤蟆被扔瞭一磚","悶腔瞭"
"井底裏栽花","沒有齣頭之日"
"井底裏劃船","沒有齣路"
"雞吃放光蟲","心裏亮；肚裏明"
"雞蛋不生爪","天生這路種"
"雞蛋炒韭黃","一色貨"
"雞蛋掉油缸","圓滑；又圓又滑"
"雞蛋掉在馬路上","砸啦"
"雞蛋放在難窩","(石臼)裏春"
"雞蛋換鴨蛋","搗(倒)蛋"
"雞蛋換鹽","兩不見錢"
"雞蛋筐裏放秤碗","砸啦"
"雞蛋殼墊床腳","難撐"
"雞蛋殼作綫闆","難纏"
"雞蛋裏淌水","壞蛋"
"雞蛋裏挑骨頭","故意找岔；無中生有"
"雞蛋裏挑刺","無中尋有；沒事找事"
"雞蛋上颳毛","癡心妄想；妄想"
"雞蛋長爪子","能滾能爬"
"雞飛蛋打","一場空"
"雞孵鴨蛋","白忙活；白忙一場"
"雞公打架","對頭"
"雞狗做鄰居","老死不相往來"
"雞骨頭熬湯","沒多大油水；油水不大"
"雞叫啓程","越走越亮堂"
"雞籠裏睡覺","睜眼淨窟窿"
"雞毛打鼓","不聲不響，無聲無息"
"雞毛敲鍾","沒迴音；無迴音；不想(響)"
"雞毛與蒜皮","沒多少斤兩；微不足道；微乎其微"
"井裏蛤蟆","沒有過碗大的天"
"井裏頭打水往河裏倒","鬍摺騰"
"井水不犯河水，南山不靠北山","各過各的"
"警犬的鼻子","特彆靈"
"警察打他爹","公事公辦"
"鏡子裏的東西","看得見，拿不來"
"揪下來的花","新鮮不瞭幾天"
"韭菜包子","從裏往外臭"
"韭菜拌豆腐","一青(清)二白"
"九十老翁學武術","心有餘力不足"
"九牛爬坡","個個齣力"
"九牛一毛","微不足道"
"久霄雲外","天外有天"
"久旱無雨","水落石齣"
"酒杯子裏洗澡","小人"
"救人沒水","乾著急"
"救人踢倒瞭油罐子","火上澆油"
"舅舅打外甥","沒說"
"舉重比賽","斤斤計較"
"舉手過頭","超額"
"舉著燈籠照鏡子","自我欣賞"
"絕壁上的爬山虎","敢於攀高峰"
"軍師皺眉頭","計上心來"
"軍師皺眉頭","遇到難題瞭"
"軍橫鬥勝","紙上談兵"
"蜻蜓點水","東一下，西一下"
"浸濕的木頭","點不起火"
"浸水的木魚","敲不響"
"齊桓公用管仲","不記前仇"
"淺灘上放木排","一拖再拖"
"強盜走瞭扛齣槍來瞭","假充勇敢"
"晴天不趕路","等著雨淋頭"
"臼鼠走親戚","土來土去"
"臼鼠拖南瓜","咋辦"
"臼間老鼠","嘴尖牙利"
"機關槍對炮筒","直性子對直性子"
"機器人","沒心肝；沒心沒肝"
"雞抱鴨蛋","一場空"
"雞巢裏的鳳凰","至高無上"
"雞毛做撣子","物盡其用"
"雞夢見小米","盡想好事；想得倒美"
"雞腦殼上磕煙灰","幾(雞)頭受氣"
"雞碰到蜈蚣","死對頭"
"雞屁股拴繩","扯談(蛋)"
"雞群裏闖進一隻鵝","就你脖子長"
"雞食盆裏的鴨子","多嘴多舌"
"雞屎蚊子打嗬欠","好大的氣魄"
"雞死狼吊孝","假慈悲；假慈善"
"雞頭對鴨頸","臉紅脖子粗"
"雞尾巴上綁掃帚","好偉(尾)大"
"雞窩裏打拳","齣手不高；起手不高；小架勢"
"雞窩裏打太極","擺不開架式"
"雞窩裏放棒槌","搗蛋"
"雞鴨共一籠","語言不通"
"雞遇黃鼠狼","命難逃；膽戰心驚；戰戰兢兢"
"雞爪子釘掌子","不對題(蹄)"
"雞爪子炒菜","七拱八翹"
"雞爪子燴豆腐","沒多大油水；油水不大"
"雞子跌米籮","不愁吃"
"雞子兒下坡","滾蛋"
"雞子兒長爪子","滾得滾，爬得爬；連滾帶爬"
"蒺藜攔草","不是好料"
"蒺藜攔麥鼓子","不是好料"
"蒺藜上彈棉花","越整越亂"
"集體逃難","一窩蜂"
"急水灘放鴨子","一去永不來；一去不復返"
"急水灘頭的大鯉魚","經過風浪"
"急需的圖章","刻不容緩"
"幾百年的老陳帳","難算；算不清"
"麂子咬豹子","不怕死；死都不怕"
"脊背上背鼓","找著挨錘；找錘"
"濟公的扇子","神通廣大"
"妓女院的鴇兒","假仁假義；虛情假意"
"寄槽養馬","心狠手毒"
"加農炮打兔子","得不償失"
"傢裏丟瞭磨","沒法推；推不得"
"傢裏請吹鼓手","名(鳴)聲在外"
"傢雀進籠子","有翅難飛"
"傢雀抬杠","亂嚷嚷"
"傢雀學老鷹","想頭不低；想得高"
"甲魚吃木炭","黑心王八"
"甲魚照鏡子","龜相"
"假李逵碰到真李逵","冤傢路窄"
"嫁給染匠的婆娘","貪色"
"架上的葫蘆","掛起來；掛著"
"架上的葡萄","一連串；一串一串的"
"駕車登山","不進則退"
"駕駛員罷工","想不開"
"肩上戴帽子","矮瞭一頭"
"尖扁擔挑水","心掛兩頭"
"尖底籮筐","不穩當；不穩"
"尖尖鞋","前緊後鬆"
"撿瞭芝麻甩瞭西瓜","因小失大"
"揀個孩子唱大戲","看你慶哪傢的功"
"揀根鐵棒當燈草","說得輕巧"
"毽子上的雞毛","鑽進錢眼裏"
"見高就拜，見低就踩","勢利眼"
"見瞭大嫂喚大姑","不認人"
"見瞭棺材不落淚","心腸硬"
"見瞭駱駝說馬背腫","少見多怪"
"見瞭蚊子就拔劍","大驚小怪"
"見人扯媚眼","賣弄風流"
"見啥菩薩念啥經","到哪說哪"
"見物手癢","利欲熏心"
"箭頭離瞭弦","勇往直前"
"箭上弦上","一觸即發"
"僵蠶放在蠶簇上","一絲不掛"
"僵蠶作硬繭","不成功(宮)"
"薑太公封神","自己沒有份；一言為定"
"薑太公算卦","好準；未蔔先知"
"薑子牙的坐騎","四不像"
"薑子牙火燒琵琶精","現瞭原形"
"薑子牙開算命館","買賣興隆"
"薑子牙娶媳婦","老來喜"
"將軍返鄉","解甲歸田"
"江邊插楊柳","落地生根"
"江邊洗蘿蔔","一個個來"
"江河發大水","一浪高一浪；後浪推前浪"
"江河裏的小泡泡","渺小"
"江湖佬賣假藥","招搖撞騙"
"江湖騙子賣草藥","有假無真；冒牌貨"
"江南的蛤蟆","難纏(南蟾)"
"江中浪上兜圈子","團團轉"
"奬狀綁在笤帚上","名譽掃地"
"講課還是老一套","屢教不改"
"講颱上放花盆","擺設"
"耩看耬眼","走著瞧"
"醬菜店裏的抹桌布","嘗盡辛酸"
"醬菜缸裏泡石頭","一言(鹽)難盡(進)"
"醬油瓶裏倒醋","不知啥滋味"
"醬油鋪裏的夥計","愛管閑(鹹)事"
"漿糊盆裏打滾","沾上瞭"
"交易所的拿破侖","財棍"
"蛟龍睏在沙灘上","難翻身；翻不瞭身；威風掃"
"蛟龍造反","翻江倒海"
"焦贊與楊排風比武","處處挨打"
"教猴子爬樹","多此一舉"
"教娃娃讀《聖經》","不看對象"
"餃子爛瞭邊","露餡"
"餃子露餡","傷瞭麵皮"
"餃子鋪的醬油","白搭"
"腳綁石頭走路","求穩不求快"
"腳脖子上把脈","瞎摸"
"腳踩棒槌","立場不穩"
"腳踩棉花堆","不踏實；騰雲駕霧"
"腳踩牛屎","一踏糊塗"
"腳打鑼，手敲鼓","兩頭忙"
"腳戴帽子頭頂靴","上下不分"
"腳底抹油","溜得快"
"腳底下釘釘","寸步難行"
"腳底下抹石灰","白跑"
"腳跟朝前走","走迴頭路；倒退"
"腳跟拴石頭","進返兩難"
"腳後跟拴藤條","拉倒"
"腳盆裏和麵","不知香臭；聞不著香臭"
"腳盆洗臉","不分上下；上下不分"
"腳上戴鐐子","寸步難行"
"腳上的泡","自己走的"
"腳踏蒺藜","寸步難行"
"腳踏蹺蹺闆","一上一下"
"腳踏烏龜背","心裏痛"
"腳丫子上長蒺藜","站不住腳"
"腳長雞眼拔火罐","鬍擺治"
"攪絆機裏的石子","翻上倒下"
"校場裏的土地","管得寬"
"轎子裏打拳","不識抬舉"
"叫花子安風扇","窮風流"
"叫花子搬傢","一無所有"
"叫花子抱著醋壇子","窮酸"
"叫花子搽粉","窮講究；窮打扮"
"叫花子炒三鮮","要一樣沒一樣"
"叫花子吃豆腐","一窮二白"
"叫花子吃葡萄","窮酸"
"叫花子打狗","一手功夫；邊打邊走"
"叫花子打哈欠","其樂無窮"
"叫花子打瞭碗","傾傢蕩産"
"叫花子當老闆","闊啦；闊氣瞭"
"叫花子的傢當","破爛貨"
"叫花子丟拐棍","受狗欺"
"叫花子夫婦調情","窮作樂；窮快活"
"叫花子趕街","分文沒有"
"叫花子哼著太平調","窮開心"
"叫花子嫁長工","窮對窮；一對窮"
"叫花子接彩球","喜瘋子；喜齣望外"
"叫花子進貢","窮盡忠"
"叫花子看滑稽(獨角戲)","窮開心"
"叫花子看外婆","兩手空"
"叫花子開店鋪","無本生意"
"叫花子誇祖業","自己沒齣息"
"叫花子擂鼓","窮開心"
"叫花子練跌打","窮摺騰"
"叫花子賣布","窮扯"
"叫花子起五更","窮忙"
"叫花子請客","窮張羅；窮大方"
"叫花子睡覺","窮睏"
"叫花子討灰麵(白麵)","一窮二白"
"叫花子提親","窮說；窮湊閤"
"叫花子跳井","窮途末路；無路可走"
"叫花子舞討飯棍","窮開心"
"叫花子想公主","一廂情願"
"叫花子咬牙","窮凶極惡；窮橫"
"叫花子照鏡子","一副窮相；窮相"
"叫花子捉虱子","十拿九穩"
"叫花子走清明","兩頭忙"
"叫花子醉酒","窮開心"
"叫花子做駙馬","受寵若驚"
"叫花子做皇上","喜從天降"
"叫林黛玉掄闆斧","強人所難"
"叫鐵公雞下蛋","異想天開"
"叫兔子去拉磨","沒有那一套"
"叫羊看菜園","越看越光"
"結巴郎吵架","張口結舌"
"揭開廬山真麵目","心中有數；肚裏有數"
"街上的傳單","白給"
"街上流行紅裙子","趕時興；趕時髦"
"街頭耍把式","光說不練"
"節草拴西瓜","難纏"
"節日擺宴席","濟濟一堂"
"節日的禮花","萬紫韆紅"
"姐兒倆害相思","同病相憐"
"姐倆迴娘傢","殊途同歸"
"藉瞭一角還十分","分文不差"
"一群螃蟹過街","橫行霸道"
"一窩猴子","都姓孫"
"長蟲戴草帽","細高挑兒(身材細長的人)"
"長蟲當拐杖","靠不住；不可靠"
"長蟲過亂石灘","繞來繞去"
"長蟲過門檻","點頭哈腰"
"長蟲爬進槍筒裏","難迴頭；迴頭難"
"唱戲打邊鼓","旁敲側擊"
"唱戲的挨刀","無傷大體；無關大體"
"唱戲的穿玻璃鞋","名角(明腳)"
"唱戲的吹鬍同","假生氣"
"唱戲的打闆子","一五一十"
"扯足順風篷","得勢"
"晨霧炊煙","一吹就散"
"沉香木當柴燒","用材不當"
"陳醋當酒喝","哭笑不得"
"陳榖做種子","難發芽"
"城隍廟的菩薩","正襟危坐；不怕鬼"
"城隍廟的鐵算盤","難算；算不清；不由人算"
"城隍廟裏齣告示","嚇鬼"
"城隍廟裏打官司","死對頭"
"城隍廟裏的鼓槌","一對兒"
"城牆上的草","風吹兩邊倒"
"城牆上點烽火","告急"
"城牆上趕麻雀","白費功夫；白費勁；枉費功"
"城牆上騎瞎馬","好險；冒險；危險"
"城頭上放風箏","齣手高"
"長蟲過街","莽(蟒)行"
"唱戲的鬍子","假的"
"唱戲的喝彩","自吹自擂"
"唱戲的教徒弟","幕後指甫"
"唱戲的轉圈圈","走過場"
"朝天放槍","空響(想)"
"炒瞭一盆麻雀腦袋","多嘴多舌"
"車道溝裏的泥鰍","掀不起大浪"
"車輪子沒軸","轉不開"
"車輛對開","各走一邊"
"陳年老帳","設法瞭結"
"城頭上齣殯","統一個大彎兒"
"程咬金的斧子","頭三下"
"秤砣掉進大海裏","浮不起來"
"秤砣掉在棉被上","沒有迴音"
"吃瞭芋頭不下肚","頂心頂肺"
"吃瞭秤舵","鐵心瞭"
"吃瞭算盤子","心裏有數"
"吃瞭扁擔","橫瞭腸子"
"吃瞭木炭","黑瞭良心"
"吃柳條拉筐子","肚子裏編"
"吃剩飯長大的","盡齣餿主意"
"吃著話梅講話","一股酸味"
"池塘裏的癲蛤蟆","叫起來沒個究"
"衝溝裏放牛","兩邊吃"
"蟲蛀的扁擔","受不瞭兩頭壓"
"崇賴上吊","走投無路"
"仇人相見","分外眼紅"
"醜姑娘給俊女婿","混著過"
"臭豆腐","聞著臭，吃著香"
"臭蟲咬人","齣嘴不齣身"
"齣土的甘蔗","節節甜"
"初齣犢","不怕虎"
"廚房裏的貓","總不記打"
"廚房裏的火簡","兩頭空"
"楚莊王猜謎語","一鳴驚人"
"穿鼕衣戴夏帽","不知春鞦"
"穿著汗衫戴棉帽","不相稱"
"穿寒衣搖夏扇","不知冷熱"
"傳說中的八仙","各有韆鞦"
"船頭上跑馬","走投無路"
"窗戶紙","一戳應就透"
